"dateid01","allords","ftse","nasdaq","nikkei"
3/1/2006,4.2801,2.9889,2.5598,5.2713
4/1/2006,2.3549,0.9808,-0.736,-0.8994
5/1/2006,-4.5074,-4.9692,-6.1867,-8.5111
6/1/2006,1.2409,1.9148,-0.3116,0.2447
7/1/2006,-1.5276,1.6268,-3.7116,-0.312
8/1/2006,2.4752,-0.3745,4.4122,4.4249
9/1/2006,0.6536,0.9262,3.4198,-0.0817
10/1/2006,4.692,2.8251,4.7945,1.6854
11/1/2006,2.0307,-1.3101,2.749,-0.7626
12/1/2006,3.3452,2.8418,-0.6777,5.8466
1/1/2007,2.0091,-0.2845,2.0138,0.9148
2/1/2007,1.0212,-0.5094,-1.9392,1.2696
3/1/2007,2.7903,2.2118,0.2272,-1.7977
4/1/2007,3.0023,2.2384,4.2719,0.6523
5/1/2007,2.9797,2.6716,3.1456,2.7318
6/1/2007,-0.492,-0.2054,-0.0495,1.4691
7/1/2007,-1.9507,-3.7501,-2.188,-4.9038
8/1/2007,0.9826,-0.8931,1.9672,-3.9411
9/1/2007,5.323,2.5939,4.0495,1.3073
10/1/2007,3.0117,3.9401,5.8345,-0.2863
11/1/2007,-2.7364,-4.3011,-6.9308,-6.3149
12/1/2007,-2.6177,0.3793,-0.3262,-2.378
1/1/2008,-11.2755,-8.9377,-9.8941,-11.2055
2/1/2008,-0.3914,0.0765,-4.9534,0.0776
3/1/2008,-4.6699,-3.0964,0.3355,-7.9209
4/1/2008,4.5714,6.7554,5.8663,10.574
5/1/2008,2.0665,-0.5553,4.5532,3.5274
6/1/2008,-7.6378,-7.0637,-9.1047,-5.978
7/1/2008,-5.256,-3.8038,1.4204,-0.7757
8/1/2008,3.2241,4.152,1.8047,-2.2721
9/1/2008,-11.2012,-13.0238,-11.6426,-13.8685
10/1/2008,-14.0047,-10.7129,-17.7319,-23.8269
11/1/2008,-7.7837,-2.0401,-10.772,-0.7545
12/1/2008,-0.3649,3.4095,2.7,4.0799
1/1/2009,-4.9518,-6.4183,-6.3797,-9.7692
2/1/2009,-5.2097,-7.6995,-6.677,-5.3243
3/1/2009,7.14,2.5065,10.941,7.1496
4/1/2009,6.0131,8.0895,12.3454,8.8628
5/1/2009,1.8319,4.1049,3.3209,7.8638
6/1/2009,3.5271,-3.8185,3.4216,4.578
7/1/2009,7.6422,8.4533,7.8178,4.0005
8/1/2009,5.5207,6.5207,1.5446,1.3102
9/1/2009,5.6912,4.5835,5.6424,-3.4243
10/1/2009,-1.9497,-1.7394,-3.6425,-0.972
11/1/2009,1.4763,2.8962,4.8648,-6.868
12/1/2009,3.5458,4.2807,5.8076,12.8499
1/1/2010,-5.8533,-4.1457,-5.3676,-3.3035
2/1/2010,1.1791,3.1994,4.2336,-0.7061
3/1/2010,5.2031,6.0715,7.135,9.5191
4/1/2010,-1.2099,-2.2238,2.6368,-0.2934
5/1/2010,-7.8673,-6.5709,-8.2948,-11.6546
6/1/2010,-2.892,-5.2328,-6.5484,-3.952
